tweet_id,created_at,text,likes,retweets,author_id,cleaned_text
1894374503158804480,2025-02-25 13:10:51+00:00,RT @jwoosworld: So they actually knew when they were trending on X? 😂 https://t.co/qp4QTflqSu,0,72,3145121419,rt actually knew trending x
1894374503116845312,2025-02-25 13:10:51+00:00,"RT @TheFishMagnate: Sowore @YeleSowore is steadily trending on X, because truth can’t be silenced. He remains the fearless voice against co…",0,36,1023597398134804480,rt sowore steadily trending x truth cant silenced remains fearless voice co
1894374502689095936,2025-02-25 13:10:51+00:00,"RT @Tigray_My_DNA: 1/3
⚖️ Why the Silence? ⚖️
#TigrayGenocide = REAL
🔹 1M+ killed
🔹 120K+ women raped
🔹 Starvation used as a weapon
🔹 Ethni…",0,49,1327887491827982336,rt silence real killed k women raped starvation used weapon ethni
1894374502546489344,2025-02-25 13:10:51+00:00,"🚀 Big News!

#ElonMusk has officially launched X Token 🎉

➞ 𝗽𝗶𝗻 𝗽𝗼𝘀𝘁 https://t.co/b6Btml8CrQ

olNuI @Justiicebeaver @derghweb @W3bSnip3r01 @Ndzalam55101852 @Manik_D26 @tayyab10_ @CabdulaahiCaba2 @victorvaml @NotTodayAFT",0,0,1885358647556902912,big news officially launched x token 𝗽𝗶𝗻 𝗽𝗼𝘀𝘁 olnui
1894374502538031360,2025-02-25 13:10:51+00:00,"🚀 Big News!

#ElonMusk has officially launched X Token 🎉

➞ 𝗽𝗶𝗻 𝗽𝗼𝘀𝘁 https://t.co/b6Btml8CrQ

sxaKw @pbilenko @AKyawsint @NeweraLucky @sharad_bhapkar @ranngelkinsley @Andre97483015 @DanielH10832557 @eni_me @Willpool04 @dbdtools",0,0,1885358647556902912,big news officially launched x token 𝗽𝗶𝗻 𝗽𝗼𝘀𝘁 sxakw
1894374502525542656,2025-02-25 13:10:51+00:00,"🚀 Big News!

#ElonMusk has officially launched X Token 🎉

➞ 𝗽𝗶𝗻 𝗽𝗼𝘀𝘁 https://t.co/b6Btml8CrQ

rZoqJ @Shalom78684507 @DOGE9S_L @BuhaescuCretu @Zhukova35 @dkdndij74252 @hng62962435 @JolensDavid @AbdelghaniFerh2 @RetrasLospalos",0,0,1885358647556902912,big news officially launched x token 𝗽𝗶𝗻 𝗽𝗼𝘀𝘁 rzoqj
1894374502521299200,2025-02-25 13:10:51+00:00,"🚀 Big News!

#ElonMusk has officially launched X Token 🎉

➞ 𝗽𝗶𝗻 𝗽𝗼𝘀𝘁 https://t.co/b6Btml8CrQ

bbSne @Uzybliss2 @c_longmoney @EthHead91842 @tierra91808 @gonzaotc @rui02857 @asnanilakan2 @yayceglist @Tekin97908098 @kumailalishaikh",0,0,1885358647556902912,big news officially launched x token 𝗽𝗶𝗻 𝗽𝗼𝘀𝘁 bbsne
1894374502508703744,2025-02-25 13:10:51+00:00,"BERNEGGER: More Senators Will Be Outed For Criminal Money Laundering

https://t.co/HkyX18gB7s
 https://t.co/3dAjc5BCXH",0,0,1654600753216987136,bernegger senators outed criminal money laundering
1894374502504558848,2025-02-25 13:10:51+00:00,"🚀 Big News!

#ElonMusk has officially launched X Token 🎉

➞ 𝗽𝗶𝗻 𝗽𝗼𝘀𝘁 https://t.co/b6Btml8CrQ

cedQp @Z_Solanaa @JoakoAaranda @CatexiaBlog @cereal_lab @goyper0 @PaulaMuiz164846 @BekteshGashi @RaniMentik76844 @PANDrei_ @fangcie_93",0,0,1885358647556902912,big news officially launched x token 𝗽𝗶𝗻 𝗽𝗼𝘀𝘁 cedqp
1894374502483595776,2025-02-25 13:10:51+00:00,"🚀 Big News!

#ElonMusk has officially launched X Token 🎉

➞ 𝗽𝗶𝗻 𝗽𝗼𝘀𝘁 https://t.co/b6Btml8CrQ

hPkrQ @stepasstepas112 @tofuzhu @farhans0726 @Foristiadi55925 @greatness0n1y @snehalshendware @zaigham_talha @HmtAkbr @airdrop2006",0,0,1885358647556902912,big news officially launched x token 𝗽𝗶𝗻 𝗽𝗼𝘀𝘁 hpkrq
1894374502449963520,2025-02-25 13:10:51+00:00,"🚀 Big News!

#ElonMusk has officially launched X Token 🎉

➞ 𝗽𝗶𝗻 𝗽𝗼𝘀𝘁 https://t.co/b6Btml8CrQ

yLmMc @tebmediain @JordyPeters10 @JaberAlfalasi2 @Chris_Swensen @SaritasCihat @Fazilet52796311 @HydryRhmt @Dakomar1 @TShrestho42037",0,0,1885358647556902912,big news officially launched x token 𝗽𝗶𝗻 𝗽𝗼𝘀𝘁 ylmmc
